Date,GOOGL,META,MS
2023-05-10,111.08380126953125,231.8083038330078,77.92317962646484
2023-05-11,115.87505340576172,234.5034942626953,76.90863800048828
2023-05-12,116.80945587158203,232.53428649902344,76.68526458740234
2023-05-15,115.81541442871094,237.55673217773438,77.20648956298828
2023-05-16,118.79753112792969,237.5169677734375,76.19195556640625
2023-05-17,120.11959838867188,241.16696166992188,78.10002899169922
2023-05-18,122.09774017333984,245.50315856933594,78.63984680175781
2023-05-19,122.02815246582031,244.2997589111328,76.54563903808594
2023-05-22,124.30450439453125,246.96514892578125,76.57356262207031
2023-05-23,121.829345703125,245.3937530517578,76.91793823242188
2023-05-24,120.17924499511719,247.8502960205078,75.59626007080078
2023-05-25,122.74386596679688,251.31129455566406,77.25301361083984
2023-05-26,123.86712646484375,260.6102600097656,78.09070587158203
2023-05-30,122.93272399902344,261.0876770019531,77.64393615722656
2023-05-31,122.13750457763672,263.275634765625,76.098876953125
2023-06-01,122.98242950439453,271.12255859375,76.38742065429688
2023-06-02,123.92676544189453,271.12255859375,78.5095443725586
2023-06-05,125.25878143310547,269.9092712402344,77.9417724609375
2023-06-06,126.55103302001953,269.6407775878906,79.91499328613281
2023-06-07,121.76969909667969,262.1617431640625,80.51067352294922
2023-06-08,121.41184997558594,263.13641357421875,80.33383178710938
2023-06-09,121.5013198852539,263.50439453125,80.24075317382812
2023-06-12,122.90290832519531,269.57110595703125,81.38558197021484
2023-06-13,123.0917739868164,269.8396301269531,82.16742706298828
2023-06-14,122.93272399902344,271.85858154296875,81.8882064819336
2023-06-15,124.34425354003906,280.2922668457031,82.88411712646484
2023-06-16,122.7935562133789,279.4668273925781,81.99057006835938
2023-06-20,122.36611938476562,282.77862548828125,80.72476196289062
2023-06-21,119.83133697509766,280.10333251953125,80.36174774169922
2023-06-22,122.41584014892578,283.3256530761719,78.649169921875
2023-06-23,121.61065673828125,287.1546630859375,77.7928695678711
2023-06-26,117.6344985961914,276.95062255859375,77.80217742919922
2023-06-27,117.62457275390625,285.48382568359375,78.58401489257812
2023-06-28,119.46353912353516,283.7333984375,78.17446899414062
2023-06-29,118.38998413085938,279.99395751953125,79.33793640136719
2023-06-30,118.98640441894531,285.4142150878906,79.4868392944336
2023-07-03,119.18521118164062,284.4594421386719,80.42692565917969
2023-07-05,121.02417755126953,292.7638854980469,79.97084045410156
2023-07-06,119.39395904541016,290.3968200683594,77.56016540527344
2023-07-07,118.76771545410156,288.94482421875,77.58810424804688
2023-07-10,115.75576782226562,292.495361328125,77.62532806396484
2023-07-11,116.44165802001953,296.6625061035156,79.07731628417969
2023-07-12,118.22097778320312,307.6521911621094,79.83121490478516
2023-07-13,123.79754638671875,311.6999816894531,80.24075317382812
2023-07-14,124.67230224609375,307.1847839355469,79.84051513671875
2023-07-17,123.90689086914062,308.9252014160156,80.38968658447266
2023-07-18,123.0221939086914,310.347412109375,85.57401275634766
2023-07-19,121.30250549316406,314.28582763671875,86.70953369140625
2023-07-20,118.48938751220703,300.869384765625,87.30522155761719
2023-07-21,119.30448913574219,292.6545104980469,87.50069427490234
